Unnamed: 0,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit
1255,Southern,Maharashtra,Delhi,Landmark 1255,Museum,1851,5.3,4.9,142,No,None,Environmental,Yes,1.5,Evening
1256,Eastern,Maharashtra,Lucknow,Landmark 1256,War Memorial,1724,2.1,3.2,161,No,Thursday,Scientific,No,1.55,Morning
1257,Central,Maharashtra,Mumbai,Landmark 1257,Observatory,1995,4.6,4.3,5,No,Friday,Environmental,No,0.4,Evening
1258,Southern,Tamil Nadu,Delhi,Landmark 1258,Fort,1588,1.9,3.8,198,Yes,Thursday,Religious,No,3.34,Morning
1259,Central,Uttar Pradesh,Mumbai,Landmark 1259,War Memorial,1528,5.2,3.3,137,No,Thursday,Religious,Yes,3.61,Morning
1260,Western,Tamil Nadu,Chennai,Landmark 1260,Museum,1871,2.9,3.1,188,No,Wednesday,Environmental,Yes,1.81,Morning
1261,Western,Maharashtra,Mumbai,Landmark 1261,Observatory,1944,0.5,3.7,11,Yes,Friday,Environmental,Yes,2.04,Morning
1262,Northern,Maharashtra,Kolkata,Landmark 1262,Tomb,1892,2.7,4.0,159,No,Monday,Historical,Yes,4.17,Morning
1263,Southern,Maharashtra,Kolkata,Landmark 1263,Theme Park,1711,4.6,3.0,199,No,Thursday,Scientific,Yes,3.44,Evening
1264,Western,Uttar Pradesh,Mumbai,Landmark 1264,Observatory,1854,2.1,3.3,70,Yes,Monday,Environmental,Yes,3.96,Afternoon
1265,Southern,Maharashtra,Lucknow,Landmark 1265,Museum,1584,3.3,4.3,143,Yes,None,Cultural,Yes,4.59,Afternoon
1266,Western,Tamil Nadu,Mumbai,Landmark 1266,Beach,1658,0.6,4.5,144,Yes,Monday,Historical,Yes,4.62,Morning
1267,Eastern,Tamil Nadu,Lucknow,Landmark 1267,War Memorial,1866,5.4,4.5,151,No,Thursday,Religious,No,0.29,Morning
1268,Southern,Tamil Nadu,Chennai,Landmark 1268,War Memorial,1512,1.5,3.9,41,Yes,None,Recreational,Yes,4.85,Evening
1269,Western,Tamil Nadu,Delhi,Landmark 1269,Beach,1788,4.7,3.4,85,No,Thursday,Religious,Yes,3.19,Night
1270,Eastern,Maharashtra,Chennai,Landmark 1270,Fort,1744,1.7,4.2,84,No,Thursday,Historical,No,5.0,Afternoon
1271,Northern,Delhi,Chennai,Landmark 1271,Theme Park,1738,1.8,4.3,26,Yes,Friday,Scientific,Yes,1.47,Afternoon
1272,Northern,Tamil Nadu,Mumbai,Landmark 1272,Temple,1964,5.3,3.1,182,Yes,Monday,Cultural,Yes,0.49,Evening
1273,Eastern,Delhi,Mumbai,Landmark 1273,War Memorial,1969,2.5,4.8,54,No,Wednesday,Cultural,Yes,3.54,Morning
1274,Central,Maharashtra,Chennai,Landmark 1274,Theme Park,1948,4.1,4.3,182,Yes,Friday,Recreational,No,3.91,Evening
1275,Western,Uttar Pradesh,Lucknow,Landmark 1275,Observatory,1603,2.2,4.6,1,Yes,Thursday,Scientific,No,3.49,Evening
1276,Central,Tamil Nadu,Lucknow,Landmark 1276,Fort,1657,1.4,4.2,166,Yes,Tuesday,Cultural,Yes,0.67,Evening
1277,Central,Uttar Pradesh,Kolkata,Landmark 1277,Theme Park,1825,2.3,3.6,110,No,Wednesday,Cultural,Yes,0.33,Evening
1278,Northern,Tamil Nadu,Mumbai,Landmark 1278,Observatory,1719,3.6,3.6,15,Yes,None,Religious,No,0.44,Evening
1279,Eastern,Maharashtra,Mumbai,Landmark 1279,Fort,1672,4.1,4.1,186,No,None,Environmental,No,4.98,Night
1280,Central,Tamil Nadu,Kolkata,Landmark 1280,Theme Park,1812,1.9,5.0,149,Yes,Thursday,Scientific,No,0.46,Morning
1281,Eastern,Tamil Nadu,Delhi,Landmark 1281,Temple,1949,3.9,4.3,14,No,Monday,Scientific,No,4.13,Morning
1282,Southern,Maharashtra,Lucknow,Landmark 1282,Museum,1833,2.4,4.0,154,No,Monday,Historical,Yes,0.15,Morning
1283,Southern,Delhi,Delhi,Landmark 1283,Tomb,1542,1.1,4.0,155,No,Tuesday,Religious,Yes,3.98,Night
1284,Central,Uttar Pradesh,Chennai,Landmark 1284,War Memorial,1572,4.0,4.4,14,No,Monday,Cultural,Yes,0.91,Night
1285,Northern,Uttar Pradesh,Chennai,Landmark 1285,Museum,1810,1.4,3.3,91,No,Wednesday,Recreational,No,3.0,Afternoon
1286,Western,Maharashtra,Kolkata,Landmark 1286,Fort,1993,3.5,4.8,80,No,None,Environmental,No,2.91,Afternoon
1287,Northern,Uttar Pradesh,Delhi,Landmark 1287,Temple,1776,3.7,4.2,77,Yes,Friday,Religious,Yes,2.81,Afternoon
1288,Southern,West Bengal,Lucknow,Landmark 1288,Theme Park,1677,3.7,3.4,87,Yes,None,Environmental,Yes,1.48,Evening
1289,Southern,Tamil Nadu,Lucknow,Landmark 1289,Temple,1928,4.4,4.8,168,Yes,Tuesday,Historical,Yes,2.16,Afternoon
1290,Western,Uttar Pradesh,Lucknow,Landmark 1290,Theme Park,2010,5.6,3.5,132,Yes,None,Environmental,Yes,0.74,Afternoon
1291,Eastern,Maharashtra,Chennai,Landmark 1291,Museum,1663,1.9,3.4,90,No,Tuesday,Environmental,Yes,0.69,Morning
1292,Eastern,West Bengal,Delhi,Landmark 1292,Fort,1960,5.1,4.3,197,No,Tuesday,Religious,Yes,3.6,Evening
1293,Eastern,Delhi,Chennai,Landmark 1293,War Memorial,1631,4.5,4.2,101,No,Wednesday,Recreational,Yes,0.11,Morning
1294,Western,Tamil Nadu,Mumbai,Landmark 1294,Beach,1672,3.9,4.7,19,Yes,Thursday,Environmental,No,4.52,Evening
1295,Central,West Bengal,Chennai,Landmark 1295,Theme Park,1543,2.0,3.1,67,No,Thursday,Environmental,Yes,3.54,Evening
1296,Eastern,West Bengal,Chennai,Landmark 1296,Temple,1709,2.6,3.6,98,No,None,Historical,Yes,4.37,Afternoon
1297,Central,Tamil Nadu,Delhi,Landmark 1297,Beach,1594,4.3,4.3,151,Yes,Monday,Historical,Yes,0.31,Morning
1298,Eastern,Maharashtra,Lucknow,Landmark 1298,Temple,1859,5.9,3.5,101,Yes,None,Religious,No,2.02,Morning
1299,Eastern,Tamil Nadu,Chennai,Landmark 1299,Museum,1631,1.7,4.7,12,Yes,Thursday,Historical,No,2.21,Evening
1300,Northern,Delhi,Mumbai,Landmark 1300,Temple,1777,1.8,4.4,11,Yes,Thursday,Scientific,Yes,1.37,Night
1301,Central,Uttar Pradesh,Mumbai,Landmark 1301,Tomb,1701,1.0,3.6,175,No,Wednesday,Cultural,No,4.68,Afternoon
1302,Northern,Uttar Pradesh,Kolkata,Landmark 1302,Museum,1919,2.9,4.7,157,No,Monday,Religious,Yes,3.1,Night
1303,Northern,Tamil Nadu,Mumbai,Landmark 1303,Tomb,1656,5.0,4.9,91,Yes,Wednesday,Historical,No,3.23,Evening
1304,Eastern,Maharashtra,Kolkata,Landmark 1304,War Memorial,1635,1.0,3.7,92,No,None,Environmental,Yes,0.99,Evening
1305,Central,Tamil Nadu,Lucknow,Landmark 1305,Temple,1753,1.0,4.8,132,Yes,Wednesday,Environmental,Yes,4.03,Night
1306,Southern,Uttar Pradesh,Delhi,Landmark 1306,Tomb,1995,3.1,4.3,176,Yes,Tuesday,Cultural,Yes,3.19,Morning
1307,Eastern,Delhi,Lucknow,Landmark 1307,War Memorial,1697,6.0,3.2,109,No,Thursday,Religious,No,3.46,Afternoon
1308,Southern,Tamil Nadu,Lucknow,Landmark 1308,Theme Park,1734,3.3,4.8,199,Yes,Tuesday,Environmental,No,3.71,Afternoon
1309,Northern,Uttar Pradesh,Delhi,Landmark 1309,Tomb,1884,1.0,3.8,7,No,Friday,Environmental,No,4.08,Afternoon
1310,Southern,Delhi,Mumbai,Landmark 1310,Observatory,1732,3.2,3.7,129,No,Tuesday,Environmental,No,0.12,Night
1311,Western,Maharashtra,Lucknow,Landmark 1311,Fort,2018,1.7,4.8,168,Yes,None,Recreational,Yes,3.02,Morning
1312,Southern,Uttar Pradesh,Mumbai,Landmark 1312,Tomb,1548,5.4,3.4,16,No,Tuesday,Cultural,Yes,3.57,Afternoon
1313,Southern,Maharashtra,Mumbai,Landmark 1313,Beach,1595,5.7,3.4,120,Yes,Wednesday,Recreational,No,2.57,Morning
1314,Western,Maharashtra,Lucknow,Landmark 1314,Museum,1515,4.3,3.2,11,No,Tuesday,Recreational,No,0.15,Night
1315,Central,Maharashtra,Chennai,Landmark 1315,Fort,1617,2.4,3.6,128,Yes,Thursday,Environmental,No,4.61,Afternoon
1316,Northern,West Bengal,Kolkata,Landmark 1316,Tomb,1822,4.9,4.7,145,Yes,Thursday,Scientific,No,4.85,Night
1317,Central,Maharashtra,Mumbai,Landmark 1317,Fort,1704,3.5,4.3,10,No,Friday,Recreational,Yes,4.3,Evening
1318,Eastern,Delhi,Mumbai,Landmark 1318,Fort,1882,2.1,4.6,112,Yes,Monday,Recreational,Yes,4.06,Morning
1319,Northern,Delhi,Chennai,Landmark 1319,Observatory,1529,5.2,3.3,9,Yes,Thursday,Scientific,No,0.5,Afternoon
1320,Central,Tamil Nadu,Lucknow,Landmark 1320,Theme Park,1929,2.2,3.6,177,Yes,Tuesday,Cultural,Yes,3.48,Morning
1321,Eastern,Maharashtra,Kolkata,Landmark 1321,Beach,1839,2.6,4.5,40,No,Thursday,Cultural,No,4.29,Morning
1322,Central,Uttar Pradesh,Mumbai,Landmark 1322,Observatory,1649,1.5,4.5,145,No,Thursday,Scientific,Yes,2.89,Night
1323,Southern,Tamil Nadu,Delhi,Landmark 1323,Theme Park,1501,5.4,3.9,72,No,Wednesday,Environmental,Yes,3.36,Night
1324,Western,Tamil Nadu,Lucknow,Landmark 1324,Theme Park,1664,4.8,4.6,116,Yes,Monday,Religious,No,1.48,Afternoon
1325,Central,Maharashtra,Lucknow,Landmark 1325,Temple,1598,4.0,4.0,163,No,Tuesday,Cultural,No,3.96,Morning
1326,Central,Delhi,Delhi,Landmark 1326,Beach,1993,1.5,4.3,45,Yes,Friday,Scientific,Yes,2.58,Evening
1327,Eastern,Delhi,Lucknow,Landmark 1327,Museum,1965,3.3,3.2,157,Yes,Tuesday,Scientific,Yes,1.43,Night
1328,Central,West Bengal,Lucknow,Landmark 1328,Observatory,1606,2.1,4.4,38,No,Tuesday,Historical,Yes,3.95,Afternoon
1329,Eastern,Maharashtra,Mumbai,Landmark 1329,Beach,1993,1.2,3.8,62,No,Wednesday,Religious,No,2.5,Night
1330,Southern,Uttar Pradesh,Chennai,Landmark 1330,Museum,1745,5.0,3.6,110,Yes,Tuesday,Environmental,No,4.43,Afternoon
1331,Eastern,Delhi,Delhi,Landmark 1331,Beach,1543,3.5,3.4,147,Yes,Thursday,Historical,Yes,2.14,Afternoon
1332,Northern,Uttar Pradesh,Kolkata,Landmark 1332,War Memorial,1972,5.2,4.8,183,Yes,None,Cultural,No,1.54,Afternoon
1333,Eastern,Maharashtra,Mumbai,Landmark 1333,War Memorial,1775,1.8,3.7,119,No,Friday,Recreational,Yes,3.78,Afternoon
1334,Central,Tamil Nadu,Mumbai,Landmark 1334,Fort,1504,4.9,3.0,156,No,Monday,Scientific,No,0.53,Night
1335,Central,Delhi,Chennai,Landmark 1335,Beach,1544,4.6,4.5,72,No,Monday,Recreational,Yes,4.51,Night
1336,Central,Maharashtra,Delhi,Landmark 1336,Temple,1854,2.5,3.2,197,No,None,Historical,Yes,2.8,Afternoon
1337,Northern,Tamil Nadu,Mumbai,Landmark 1337,Observatory,1685,5.1,3.0,102,Yes,Tuesday,Religious,Yes,2.33,Morning
1338,Western,West Bengal,Lucknow,Landmark 1338,Museum,1888,3.3,3.4,53,No,Friday,Cultural,Yes,1.02,Evening
1339,Central,Tamil Nadu,Kolkata,Landmark 1339,Fort,1544,2.5,4.5,155,Yes,Tuesday,Environmental,No,4.33,Morning
1340,Eastern,Maharashtra,Delhi,Landmark 1340,Tomb,1937,5.1,3.5,187,No,Tuesday,Historical,No,3.92,Evening
1341,Northern,Uttar Pradesh,Kolkata,Landmark 1341,Tomb,1891,3.2,3.9,172,No,None,Environmental,No,0.45,Night
1342,Southern,Tamil Nadu,Chennai,Landmark 1342,Theme Park,1879,5.7,3.7,32,Yes,Wednesday,Religious,No,2.02,Afternoon
1343,Southern,Tamil Nadu,Chennai,Landmark 1343,Tomb,1662,4.7,3.5,130,No,Friday,Religious,No,4.28,Afternoon
1344,Southern,Uttar Pradesh,Chennai,Landmark 1344,Theme Park,1852,2.2,3.8,183,Yes,Tuesday,Religious,No,2.32,Evening
1345,Eastern,West Bengal,Mumbai,Landmark 1345,Theme Park,1608,0.7,5.0,8,Yes,None,Scientific,No,1.78,Morning
1346,Central,Tamil Nadu,Kolkata,Landmark 1346,Temple,1693,0.5,4.5,51,No,Friday,Cultural,Yes,0.73,Night
1347,Central,Tamil Nadu,Kolkata,Landmark 1347,War Memorial,1752,0.7,4.9,5,No,Friday,Historical,Yes,2.93,Evening
1348,Southern,Tamil Nadu,Mumbai,Landmark 1348,Tomb,1581,6.0,3.1,72,No,Wednesday,Environmental,No,2.62,Night
1349,Southern,West Bengal,Kolkata,Landmark 1349,Temple,1669,1.8,3.6,119,No,Tuesday,Scientific,No,4.64,Evening
1350,Southern,Tamil Nadu,Kolkata,Landmark 1350,Fort,1988,1.2,4.5,128,Yes,Friday,Scientific,No,1.63,Morning
1351,Western,Delhi,Kolkata,Landmark 1351,War Memorial,1984,5.2,3.5,183,Yes,Wednesday,Historical,Yes,1.63,Evening
1352,Central,West Bengal,Lucknow,Landmark 1352,Museum,1981,2.9,3.7,2,No,Tuesday,Scientific,Yes,3.89,Evening
1353,Central,West Bengal,Kolkata,Landmark 1353,Museum,1857,2.7,3.8,35,No,None,Environmental,Yes,0.8,Afternoon
1354,Western,West Bengal,Chennai,Landmark 1354,War Memorial,2016,5.8,4.8,196,No,Tuesday,Scientific,No,2.4,Morning
1355,Southern,Uttar Pradesh,Lucknow,Landmark 1355,Temple,1571,1.3,5.0,135,No,Friday,Historical,No,4.01,Afternoon
1356,Southern,Uttar Pradesh,Delhi,Landmark 1356,Temple,2003,1.3,3.0,62,No,Tuesday,Historical,Yes,4.17,Night
1357,Central,Maharashtra,Chennai,Landmark 1357,Temple,1503,1.8,3.4,0,Yes,Monday,Environmental,Yes,2.51,Morning
1358,Southern,Maharashtra,Lucknow,Landmark 1358,Observatory,1867,3.1,4.8,66,Yes,Monday,Environmental,No,4.12,Afternoon
1359,Eastern,Maharashtra,Delhi,Landmark 1359,Fort,1838,2.2,4.3,37,No,Friday,Cultural,No,4.04,Night
1360,Western,Maharashtra,Lucknow,Landmark 1360,Tomb,2010,5.0,4.3,16,No,Monday,Recreational,Yes,2.79,Night
1361,Central,West Bengal,Kolkata,Landmark 1361,Observatory,1667,1.0,3.3,77,Yes,Friday,Environmental,No,1.97,Night
1362,Central,Tamil Nadu,Lucknow,Landmark 1362,Theme Park,1571,5.5,3.7,89,Yes,None,Historical,No,3.17,Night
1363,Northern,Delhi,Delhi,Landmark 1363,Beach,1612,3.3,4.3,143,No,None,Religious,No,3.16,Afternoon
1364,Central,Uttar Pradesh,Lucknow,Landmark 1364,Tomb,1602,2.8,4.9,140,No,Monday,Recreational,Yes,1.61,Evening
1365,Southern,West Bengal,Mumbai,Landmark 1365,Tomb,1632,0.8,3.7,97,Yes,Friday,Environmental,Yes,2.83,Night
1366,Southern,Uttar Pradesh,Delhi,Landmark 1366,Museum,1810,3.9,3.0,91,Yes,None,Historical,No,2.89,Evening
1367,Southern,Delhi,Mumbai,Landmark 1367,Observatory,1871,5.3,4.4,16,No,Monday,Historical,No,2.29,Morning
1368,Central,Uttar Pradesh,Lucknow,Landmark 1368,Museum,1542,2.6,3.5,161,No,Wednesday,Recreational,Yes,0.13,Morning
1369,Southern,Delhi,Delhi,Landmark 1369,Museum,1511,2.2,3.2,151,No,Thursday,Historical,No,3.89,Night
1370,Central,Delhi,Delhi,Landmark 1370,Museum,1915,1.4,4.7,176,Yes,None,Cultural,Yes,2.67,Evening
1371,Western,Uttar Pradesh,Chennai,Landmark 1371,Theme Park,1860,1.3,3.3,61,No,Wednesday,Environmental,Yes,1.01,Night
1372,Eastern,West Bengal,Lucknow,Landmark 1372,Observatory,1541,5.2,3.9,76,No,Monday,Scientific,Yes,4.35,Night
1373,Southern,Tamil Nadu,Lucknow,Landmark 1373,Fort,1723,5.9,3.0,120,Yes,Thursday,Environmental,No,0.6,Morning
1374,Northern,Uttar Pradesh,Lucknow,Landmark 1374,Fort,1725,2.1,5.0,180,Yes,Thursday,Cultural,No,1.21,Evening
1375,Central,Uttar Pradesh,Kolkata,Landmark 1375,Theme Park,1742,5.7,3.2,33,No,Wednesday,Recreational,No,1.31,Afternoon
1376,Eastern,Uttar Pradesh,Chennai,Landmark 1376,Museum,1540,5.3,3.9,37,Yes,Monday,Historical,Yes,2.03,Evening
1377,Eastern,Delhi,Kolkata,Landmark 1377,Fort,1814,2.3,3.2,174,No,Friday,Recreational,Yes,1.92,Night
1378,Eastern,Delhi,Delhi,Landmark 1378,Tomb,1546,2.6,4.0,65,Yes,Thursday,Environmental,No,2.87,Evening
1379,Western,Tamil Nadu,Mumbai,Landmark 1379,War Memorial,1841,3.6,3.5,164,No,Thursday,Cultural,No,3.67,Night
1380,Eastern,Tamil Nadu,Mumbai,Landmark 1380,Tomb,1927,2.2,3.7,155,No,None,Environmental,Yes,2.43,Night
1381,Northern,West Bengal,Chennai,Landmark 1381,Temple,1579,1.9,3.3,62,No,Thursday,Environmental,No,2.9,Afternoon
1382,Northern,Delhi,Chennai,Landmark 1382,Observatory,1741,4.0,3.0,117,No,Wednesday,Environmental,Yes,2.64,Night
1383,Southern,Maharashtra,Mumbai,Landmark 1383,Fort,1557,1.4,4.8,144,No,Monday,Cultural,No,3.95,Night
1384,Northern,Maharashtra,Chennai,Landmark 1384,Observatory,1572,2.5,3.2,130,Yes,None,Historical,No,1.85,Afternoon
1385,Western,Delhi,Lucknow,Landmark 1385,Tomb,1978,4.7,3.6,49,No,Tuesday,Recreational,Yes,2.89,Morning
1386,Eastern,Tamil Nadu,Lucknow,Landmark 1386,Theme Park,1531,1.4,4.3,127,Yes,None,Religious,Yes,4.1,Evening
1387,Eastern,Uttar Pradesh,Chennai,Landmark 1387,Observatory,1888,2.4,3.5,83,Yes,Friday,Scientific,No,2.04,Night
1388,Northern,Maharashtra,Delhi,Landmark 1388,Observatory,2007,3.0,4.2,84,No,Monday,Recreational,No,3.9,Morning
1389,Western,Maharashtra,Lucknow,Landmark 1389,Temple,1998,3.6,3.4,31,Yes,Thursday,Scientific,Yes,2.95,Afternoon
1390,Central,Delhi,Kolkata,Landmark 1390,Observatory,1636,1.5,4.6,101,No,Thursday,Religious,Yes,1.42,Night
1391,Southern,Tamil Nadu,Lucknow,Landmark 1391,War Memorial,1780,2.3,3.7,14,Yes,Thursday,Environmental,Yes,4.25,Night
1392,Central,Uttar Pradesh,Chennai,Landmark 1392,Museum,1820,2.1,4.5,130,Yes,Friday,Historical,Yes,3.93,Afternoon
1393,Northern,Delhi,Delhi,Landmark 1393,Observatory,1687,4.6,3.0,44,Yes,Friday,Historical,No,1.19,Evening
1394,Southern,West Bengal,Chennai,Landmark 1394,Beach,1708,0.6,3.9,18,No,Tuesday,Religious,No,4.17,Evening
1395,Eastern,Tamil Nadu,Mumbai,Landmark 1395,Observatory,1587,5.0,4.4,33,No,Tuesday,Recreational,No,3.63,Evening
1396,Northern,Maharashtra,Delhi,Landmark 1396,Observatory,1903,5.0,4.3,191,No,Thursday,Environmental,No,1.75,Night
1397,Northern,Tamil Nadu,Delhi,Landmark 1397,Beach,1721,2.7,4.4,169,No,Wednesday,Religious,Yes,4.95,Night
1398,Eastern,Tamil Nadu,Kolkata,Landmark 1398,Temple,1962,3.6,3.5,28,Yes,Monday,Environmental,Yes,3.42,Evening
1399,Central,Tamil Nadu,Chennai,Landmark 1399,Tomb,1747,5.1,3.4,119,Yes,Friday,Recreational,No,4.28,Morning
1400,Southern,Tamil Nadu,Chennai,Landmark 1400,Temple,1515,1.5,4.9,20,Yes,Tuesday,Cultural,No,3.97,Afternoon
1401,Northern,Uttar Pradesh,Delhi,Landmark 1401,Observatory,1996,1.1,4.0,12,Yes,Wednesday,Cultural,Yes,4.32,Morning
1402,Central,Maharashtra,Chennai,Landmark 1402,Museum,1694,0.9,4.5,172,No,Wednesday,Historical,No,4.04,Morning
1403,Southern,Tamil Nadu,Delhi,Landmark 1403,Fort,1653,2.3,3.3,108,Yes,Tuesday,Recreational,No,3.13,Evening
1404,Eastern,West Bengal,Chennai,Landmark 1404,Observatory,1620,0.7,4.1,198,Yes,Thursday,Scientific,No,3.01,Evening
1405,Southern,Delhi,Mumbai,Landmark 1405,Fort,1740,2.3,3.5,179,Yes,Monday,Cultural,Yes,1.59,Evening
1406,Northern,Maharashtra,Lucknow,Landmark 1406,War Memorial,1758,2.8,3.0,7,No,Tuesday,Scientific,Yes,1.68,Afternoon
1407,Southern,Tamil Nadu,Mumbai,Landmark 1407,Tomb,1852,0.9,3.1,47,No,Friday,Scientific,Yes,0.84,Morning
1408,Central,Maharashtra,Chennai,Landmark 1408,Beach,1529,2.9,3.8,165,No,Monday,Cultural,Yes,0.88,Evening
1409,Southern,West Bengal,Kolkata,Landmark 1409,Beach,1914,4.2,3.1,189,Yes,Tuesday,Recreational,No,0.22,Night
1410,Northern,Uttar Pradesh,Delhi,Landmark 1410,War Memorial,1671,3.7,3.6,21,Yes,Friday,Historical,No,2.79,Afternoon
1411,Northern,West Bengal,Kolkata,Landmark 1411,Museum,1501,1.6,3.1,101,No,Thursday,Environmental,Yes,2.12,Morning
1412,Eastern,Delhi,Delhi,Landmark 1412,War Memorial,1936,4.3,4.5,26,Yes,Wednesday,Religious,No,0.3,Morning
1413,Central,Uttar Pradesh,Kolkata,Landmark 1413,Observatory,1907,4.8,4.6,155,Yes,Thursday,Religious,No,3.98,Evening
1414,Eastern,Uttar Pradesh,Mumbai,Landmark 1414,Temple,1807,4.8,3.6,109,Yes,None,Environmental,Yes,2.34,Night
1415,Central,Tamil Nadu,Delhi,Landmark 1415,Temple,1638,4.5,3.7,93,No,Monday,Recreational,No,3.04,Morning
1416,Eastern,Tamil Nadu,Delhi,Landmark 1416,Museum,1683,1.0,3.8,169,Yes,Tuesday,Cultural,Yes,4.72,Evening
1417,Southern,Tamil Nadu,Chennai,Landmark 1417,Tomb,1707,5.8,3.4,106,No,Friday,Recreational,No,4.29,Night
1418,Eastern,Uttar Pradesh,Delhi,Landmark 1418,Theme Park,1726,1.8,3.1,76,No,None,Environmental,No,1.08,Morning
1419,Southern,Uttar Pradesh,Delhi,Landmark 1419,Theme Park,1709,3.6,3.0,17,No,Tuesday,Scientific,No,4.91,Afternoon
1420,Central,Tamil Nadu,Lucknow,Landmark 1420,Beach,1620,3.3,3.9,115,Yes,None,Religious,No,4.47,Evening
1421,Western,Uttar Pradesh,Kolkata,Landmark 1421,Fort,1989,2.7,3.0,140,Yes,Thursday,Environmental,Yes,3.38,Afternoon
1422,Eastern,West Bengal,Chennai,Landmark 1422,War Memorial,1602,3.9,4.9,68,Yes,None,Historical,Yes,2.76,Night
1423,Northern,Uttar Pradesh,Lucknow,Landmark 1423,Fort,1896,3.8,4.1,23,Yes,Thursday,Religious,No,1.83,Evening
1424,Southern,Uttar Pradesh,Kolkata,Landmark 1424,Beach,1544,1.6,4.6,109,No,Friday,Scientific,No,0.53,Evening
1425,Western,Maharashtra,Mumbai,Landmark 1425,Fort,1508,5.5,4.4,137,No,Monday,Scientific,Yes,2.1,Night
1426,Central,Maharashtra,Delhi,Landmark 1426,Museum,1894,3.5,3.3,140,No,Thursday,Scientific,No,1.99,Night
1427,Western,Tamil Nadu,Lucknow,Landmark 1427,Museum,1862,4.3,4.8,148,Yes,Wednesday,Historical,No,2.14,Afternoon
1428,Southern,West Bengal,Delhi,Landmark 1428,Observatory,1670,1.9,4.4,116,No,Thursday,Historical,Yes,3.62,Afternoon
1429,Central,Uttar Pradesh,Lucknow,Landmark 1429,Beach,1885,6.0,4.4,195,Yes,Monday,Historical,No,0.93,Afternoon
1430,Northern,Uttar Pradesh,Delhi,Landmark 1430,Theme Park,1658,3.2,4.2,30,Yes,Thursday,Historical,Yes,3.54,Evening
1431,Western,Maharashtra,Chennai,Landmark 1431,Beach,1868,5.5,4.4,32,Yes,Wednesday,Environmental,Yes,3.31,Night
1432,Southern,Uttar Pradesh,Lucknow,Landmark 1432,Museum,1726,3.0,3.9,131,Yes,Monday,Religious,Yes,0.59,Afternoon
1433,Central,Delhi,Kolkata,Landmark 1433,War Memorial,1698,3.3,4.2,15,Yes,Thursday,Recreational,No,4.83,Morning
1434,Southern,Maharashtra,Kolkata,Landmark 1434,Beach,1501,4.6,4.9,19,Yes,Wednesday,Environmental,No,3.38,Night
1435,Northern,Tamil Nadu,Chennai,Landmark 1435,Museum,1915,5.3,4.8,179,No,Wednesday,Scientific,Yes,0.86,Afternoon
1436,Northern,Uttar Pradesh,Mumbai,Landmark 1436,Observatory,1523,4.4,4.1,129,Yes,Monday,Cultural,No,1.07,Night
1437,Western,Maharashtra,Chennai,Landmark 1437,Tomb,1903,3.8,4.7,140,No,Wednesday,Environmental,Yes,1.47,Evening
1438,Southern,Uttar Pradesh,Lucknow,Landmark 1438,Temple,1889,3.2,3.8,136,No,None,Environmental,Yes,0.64,Afternoon
1439,Eastern,Tamil Nadu,Lucknow,Landmark 1439,Observatory,1636,2.2,4.2,23,No,Monday,Scientific,Yes,4.88,Night
1440,Eastern,Tamil Nadu,Lucknow,Landmark 1440,Tomb,2005,3.7,4.7,176,No,Thursday,Religious,No,2.19,Night
1441,Southern,Maharashtra,Mumbai,Landmark 1441,Theme Park,1863,5.2,3.0,68,Yes,Tuesday,Religious,Yes,4.38,Morning
1442,Southern,Delhi,Lucknow,Landmark 1442,Museum,1616,0.6,3.8,93,Yes,Thursday,Religious,No,0.61,Night
1443,Western,Uttar Pradesh,Lucknow,Landmark 1443,Fort,1708,2.9,3.5,154,No,Wednesday,Religious,Yes,1.11,Night
1444,Northern,Delhi,Lucknow,Landmark 1444,Museum,1618,4.2,4.5,124,Yes,Monday,Cultural,Yes,4.16,Evening
1445,Central,Tamil Nadu,Kolkata,Landmark 1445,Observatory,1603,2.8,4.3,153,Yes,None,Religious,Yes,4.96,Night
1446,Eastern,Delhi,Mumbai,Landmark 1446,War Memorial,1720,3.8,4.1,68,Yes,Tuesday,Recreational,Yes,0.78,Evening
1447,Southern,Uttar Pradesh,Delhi,Landmark 1447,Temple,1971,4.9,4.3,36,Yes,Thursday,Historical,Yes,4.56,Evening
1448,Eastern,Tamil Nadu,Kolkata,Landmark 1448,Museum,1759,4.3,3.6,19,Yes,Tuesday,Recreational,No,3.0,Night
1449,Eastern,Tamil Nadu,Mumbai,Landmark 1449,Museum,1741,3.6,3.7,64,No,Friday,Scientific,Yes,2.07,Evening
1450,Northern,Maharashtra,Kolkata,Landmark 1450,Tomb,1543,3.9,4.5,120,No,Monday,Religious,No,0.75,Morning
1451,Northern,Tamil Nadu,Mumbai,Landmark 1451,Theme Park,1532,3.8,4.9,106,Yes,Wednesday,Scientific,Yes,1.18,Morning
1452,Central,Maharashtra,Mumbai,Landmark 1452,War Memorial,1948,3.0,3.3,189,No,Thursday,Recreational,Yes,3.97,Evening
1453,Southern,Maharashtra,Chennai,Landmark 1453,Beach,1873,2.1,4.1,42,No,Friday,Religious,Yes,1.55,Morning
